ano,mes,tipoDespesa,codDocumento,tipoDocumento,codTipoDocumento,dataDocumento,numDocumento,valorDocumento,urlDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,numRessarcimento,codLote,parcela,idDeputado,data_captura
2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8055147,Recibos/Outros,1,2026-01-22 00:00:00,IEE2026001402120,320.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8055147.pdf,Adobe Systems Software Ireland Ltd,00000000000010,320.0,0.0,,2211594,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079252,Recibos/Outros,1,2026-02-22 00:00:00,IEE2026003422072,320.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8079252.pdf,Adobe Systems Software Ireland Ltd,00000000000010,320.0,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082207,Recibos/Outros,1,2026-03-22 00:00:00,IEE2026005437445,320.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8082207.pdf,Adobe Systems Software Ireland Ltd,00000000000010,320.0,0.0,,2226594,0,204528,2026-06-01 00:26:35
2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8055155,Recibos/Outros,1,2026-01-22 00:00:00,288AC037-0038,2917.46,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8055155.pdf,Airtable,00000000000010,2917.46,0.0,,2211594,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079247,Recibos/Outros,1,2026-02-22 00:00:00,288AC037-0039,2471.74,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8079247.pdf,Airtable,00000000000010,2471.74,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082148,Recibos/Outros,1,2026-03-22 00:00:00,288AC037-0040,2480.5,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8082148.pdf,Airtable,00000000000010,2480.5,0.0,,2226593,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082142,Nota Fiscal,0,2026-03-19 00:00:00,290223,899.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8082142.pdf,BOTCONVERSA LTDA,39994996000133,899.0,0.0,,2226593,0,204528,2026-06-01 00:26:35
2026,2,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8079234,Recibos/Outros,1,2026-02-19 00:00:00,FLICKR4895019,520.89,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8079234.pdf,"Flickr, Inc.",00000000000010,520.89,0.0,,2224959,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082187,Nota Fiscal,0,2026-03-29 00:00:00,15648833,349.33,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8082187.pdf,Kalunga SA,43283811001202,349.33,0.0,,2226594,0,204528,2026-06-01 00:26:35
2026,3,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8082133,Recibos/Outros,1,2026-03-12 00:00:00,3325856-9,100.25,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3195/2026/8082133.pdf,Manychat,00000000000010,100.25,0.0,,2226593,0,204528,2026-06-01 00:26:35
