id,uri,dataHoraInicio,dataHoraFim,situacao,descricaoTipo,descricao,localExterno,orgaos,urlRegistro,localCamara.nome,localCamara.predio,localCamara.sala,localCamara.andar,data_captura
81276,https://dadosabertos.camara.leg.br/api/v2/eventos/81276,2026-05-05 10:18:00,2026-05-05 11:25:00,Encerrada,Sessão Não Deliberativa Solene,Comemoração dos 70 anos da indústria automotiva no Brasil,,"[{""id"": 111, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/111"", ""sigla"": ""CN"", ""nome"": ""CONGRESSO NACIONAL"", ""apelido"": ""CONGRESSO NACIONAL"", ""codTipoOrgao"": 81001, ""tipoOrgao"": ""Órgão do Congresso Nacional"", ""nomePublicacao"": ""CN"", ""nomeResumido"": ""Congresso Nacional""}]",https://www.youtube.com/watch?v=Ve6fL7tvJDM,Plenário do Senado Federal,,,,2026-06-03 08:38:45
81489,https://dadosabertos.camara.leg.br/api/v2/eventos/81489,2026-05-05 09:25:00,2026-05-05 11:16:00,Encerrada,Sessão Não Deliberativa Solene,"Homenagem ao Dia Internacional do Trabalho
 Homenagem ao Dia Internacional do Trabalho",,"[{""id"": 180, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"", ""sigla"": ""PLEN"", ""nome"": ""Plenário"", ""apelido"": ""Plenário"", ""codTipoOrgao"": 26, ""tipoOrgao"": ""Plenário Virtual"", ""nomePublicacao"": ""Plenário"", ""nomeResumido"": ""Plenário""}]",https://www.youtube.com/watch?v=xrS10-gMNxE,Plenário da Câmara dos Deputados,,,,2026-06-03 08:38:45
81683,https://dadosabertos.camara.leg.br/api/v2/eventos/81683,2026-05-05 10:25:00,2026-05-05 12:41:00,Encerrada (Final),Audiência Pública,"20 anos da Política Nacional de Práticas Integrativas e Complementares em Saúde (PICS) no SUS
 REQ. 14/2026 CSAUDE, do Deputado Giovani Cherini (PL/RS)

Convidados confirmados:

- Jordana Tres dos Santos (participação presencial)
Bióloga, especialista em Acupuntura e Fitoterapia, Mestre em Qualidade Ambiental;

- Nadia Regina Gindri Mileto (participação virtual)
Psicóloga, especialista em Saúde Pública, Humanização do Sus, Saúde Mental, Promotora das Práticas Integrativas e Educação Popular em Saúde;

- Marta Helena Chielle Roani (participação virtual)
Graduada e pós graduada em Naturopatia Clínica e Científica pela Escola Superior de Ciências Tradicionais e Ambientais (ESCAM) e pela Faculdade Montenegro Ibicaraí/BA;

- Marcelo Mascarenhas (participação virtual)
Farmacêutico Bioquímico Integrativo. PhD em Psiquiatria, Doutor em Ciências Cardiovasculares e Cardiologia (UFRGS) e Mestre Bioquímica  (UFRGS);

- Ricardo Monezi (participação virtual)
Pós-doutorado e doutorado pela Universidade Federal de São Paulo. Coordenador das Práticas Integrativas e Complementares em Oncologia do A.C.Camargo Cancer Center - São Paulo;

- Taitiane Teixeira (participação virtual)
Fisioterapeuta, com pós-graduação em acupuntura pela Associação Brasileira de Acupuntura e especialista em diversas terapias integrativas e complementares. Responsável técnica pela execução das Práticas Integrativas e Complementares no município de Vale Verde (RS) pelo SUS;

- Talita Pavarini Borges de Souza (participação virtual)
Coordenadora da Câmara Técnica dePráticas Integrativas e Complementares em Saúde -
CTPICS, do Conselho Federal de Enfermagem;

- Angela Fernandes Leal da Silva (participação presencial)
Diretora do Departamento de Promoção da Saúde do Ministério da Saúde.",,"[{""id"": 2014, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2014"", ""sigla"": ""CSAUDE"", ""nome"": ""Comissão de Saúde"", ""apelido"": ""Saúde"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Saúde"", ""nomeResumido"": ""Saúde""}]",https://www.youtube.com/watch?v=WXXPMLvB3A8,"Anexo II, Plenário 07",,,,2026-06-03 08:38:45
81695,https://dadosabertos.camara.leg.br/api/v2/eventos/81695,2026-05-04 14:30:00,,Convocada,Reunião Técnica,Estágio-Visita,,"[{""id"": 100950, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/100950"", ""sigla"": ""EVENTOS"", ""nome"": ""Eventos"", ""apelido"": ""Outros Eventos"", ""codTipoOrgao"": 12000, ""tipoOrgao"": ""Órgão da Câmara dos Deputados"", ""nomePublicacao"": ""Câmara dos Deputados - Outros Eventos"", ""nomeResumido"": null}]",,"Anexo II, Plenário 01",,,,2026-06-03 08:38:45
81696,https://dadosabertos.camara.leg.br/api/v2/eventos/81696,2026-05-05 08:30:00,,Convocada,Reunião Técnica,Estágio-Visita,,"[{""id"": 100950, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/100950"", ""sigla"": ""EVENTOS"", ""nome"": ""Eventos"", ""apelido"": ""Outros Eventos"", ""codTipoOrgao"": 12000, ""tipoOrgao"": ""Órgão da Câmara dos Deputados"", ""nomePublicacao"": ""Câmara dos Deputados - Outros Eventos"", ""nomeResumido"": null}]",,"Anexo II, Plenário 01",,,,2026-06-03 08:38:45
81730,https://dadosabertos.camara.leg.br/api/v2/eventos/81730,2026-05-05 09:53:00,2026-05-05 11:05:00,Encerrada (Final),Audiência Pública,"O papel das ouvidorias no fortalecimento da Defesa Civil e no desenvolvimento regional: transparência e escuta ativa em situações de calamidade
 Requerimento nº 5/2026, do Deputado Gilson Daniel (PODE-ES)

Convidados:

CORONEL ALEXANDRE CERQUEIRA (presença confirmada - remota)
Comandante-Geral do Corpo de Bombeiros Militar do Espírito Santo (CBMES/ES), representando o Conselho Nacional de Comandantes-Gerais (LIGABOM)

TENENTE-CORONEL BM MARCELINO (presença confirmada - remota)
Coordenador Estadual Adjunto de Defesa Civil de Minas Gerais (Cedec/MG)

TC FABIANO LEANDRO DOS SANTOS (presença confirmada - remota)
Corpo de Bombeiros Militar de Santa Catarina (CBM/SC)

EDSON LUIZ VISMONA (presença confirmada - remota)
Presidente do Conselho Deliberativo da Associação Brasileira de Ouvidores (ABO)

Não comparecerão: 

Giselli Ballestrassi
Ouvidora-Geral do Estado do Espírito Santo (Representando as ouvidorias estaduais da região) e
Sebastião Carlos Ranna
Conselheiro Ouvidor do Tribunal de Contas do Espírito Santo (TCE/ES)",,"[{""id"": 2017, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2017"", ""sigla"": ""CINDRE"", ""nome"": ""Comissão de Integração Nacional e Desenvolvimento Regional"", ""apelido"": ""Integração Nacional e Desenvolvimento Regional"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Integração Nacional e Desenvolvimento Regional"", ""nomeResumido"": ""Integração Nacional""}]",https://www.youtube.com/watch?v=CjRvS20ku9w,"Anexo II, Plenário 15",,,,2026-06-03 08:38:45
81749,https://dadosabertos.camara.leg.br/api/v2/eventos/81749,2026-05-04 08:30:00,2026-05-04 11:53:00,Encerrada,Seminário,"Seminário Estadual destinado a debater os efeitos da PEC 231/19 para os setores produtivos do Rio Grande do Sul
 Seminário Estadual da Comissão Especial sobre FPM e Fundos Consitucionais Sul/Sudeste PEC 231/19

Tema: Efeitos da PEC 231/19 para os efeitos produtivos do Rio Grande do Sul

Local: Salão de Convenções da FIERGS 
Endereço: Av. Assis Brasil, 8787 - Porto Alegre/RS

Coordenação: DEPUTADO FEDERAL Pompeo de Mattos, 1º Vice-Presidente da Comissão Especial sobre o FPM e Fudos Constitucionais Sul/Sudeste PEC 231/19

Convidados:

DEPUTADO FEDERAL AFONSO HAMM, 2º Vice-Presidente da Comissão Especial sobre o FPM e os Fundos Constitucionais (PEC 231/19)
DEPUTADO ESTADUAL SÉRGIO PERES ALÓS, Presidente da Assembleia Legislativa do Rio Grande do Sul
GOVERNADOR EDUARDO LEITE
VICE-GOVERNADOR GABRIEL SOUZA
SECRETÁRIA PRICILLA MARIA SANTANA, Secretaria da Fazenda
SECRETÁRIO LEANDRO EVALDT, Secretaria de Desenvolvimento
SECRETÁRIO RANOLFO VIEIRA JÚNIOR, Secretaria da Casa Civil
CLÁUDIO BIER, Federação das Indústrias do Estado do Rio Grande do Sul (FIERGS)
DOMINGO VELHO LOPES, Federação da Agricultura do Estado do Rio Grande do Sul (FARSUL)
CARLOS JOEL DA SILVA, Presidente da Federação dos Trabalhadores na Agricultura no Rio Grande do Sul (FETAG-RS)
LUIZ CARLOS BOHN, FECOMÉRCIO
RODRIGO SOUSA COSTA, FEDERASUL
CARLOS KLEIN, CDL Porto Alegre
SUZANA VELLINHO ENGLERT, Associação Comercial de Porto Alegre (ACPA)
IVONEI PIONER, Federação Varejista do RS
FRANCISCO JOSÉ SOARES HORBE, METROPLAN
LUCAS BALDISSEROTTO, CIEE-RS
LINDONOR PERUZZO JUNIOR, Associação Gaúcha de Supermercados (AGAS)
ARLEI ROMEIRO, Associação dos Empresários do 4º Distrito de Porto Alegre
LEONARDO VOGEL DORNELES, Associação Brasileira de Bares e Restaurantes (ABRASEL-RS)
FAUSTON GUSTAVO SARAIVA, ACI - NH/CB/EV/DI/IV
ADRIANA PERIM OLIVEIRA, FAMURS
JOSÉ LUIS PINHO LEITE GORDON, BNDES
FERNANDO POSTAL, Banrisul
TIAGO CORDEIRO DE OLIVEIRA, Caixa Econômica Federal
ROBSON DIEGO FERREIRA, Badesul
EDUARDO UHLEIN, Presidente do Tribunal de Justiça do Estado
IRADIR PIETROSKI, Presidente do Tribunal de Contas do Estado
ALEXANDRE SIKINOWSKI SALTZ, Ministério Público
MARCELO TURELA DE ALMEIDA, Defensoria Pública
LEONARDO LAMACHIA, OAB
SEBASTIÃO MELO, Prefeito de Porto Alegre e representante da Associação Nacional dos Prefeitos (ANP",Salão de Convenções - FIERGS,"[{""id"": 539741, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/539741"", ""sigla"": ""PEC23119"", ""nome"": ""Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição n. 231, de 2019, que altera o art. 159 da Constituição Federal para disciplinar a distribuição de recursos pela União ao Fundo de Participação dos Municípios"", ""apelido"": ""PEC 231/19 - FPM e Fundos Constitucionais Sul/Sudeste"", ""codTipoOrgao"": 3, ""tipoOrgao"": ""Comissão Especial"", ""nomePublicacao"": ""Comissão Especial sobre o FPM e os Fundos Constitucionais Sul/Sudeste (PEC 231/19)"", ""nomeResumido"": ""Fundos de Financiamento""}]",,,,,,2026-06-03 08:38:45
81794,https://dadosabertos.camara.leg.br/api/v2/eventos/81794,2026-05-02 09:00:00,2026-05-02 19:00:00,Encerrada (Final),Evento Técnico,Encontro da CAPADR na EXPOZEBU 2026,Parque de Exposições de Uberaba-MG,"[{""id"": 2001, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2001"", ""sigla"": ""CAPADR"", ""nome"": ""Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""apelido"": ""Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""nomeResumido"": ""Agropecuária""}]",,,,,,2026-06-03 08:38:45
81795,https://dadosabertos.camara.leg.br/api/v2/eventos/81795,2026-05-03 09:00:00,2026-05-03 19:00:00,Encerrada (Final),Evento Técnico,Encontro da CAPADR na EXPOZEBU 2026,Parque de Exposições de Uberaba-MG,"[{""id"": 2001, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2001"", ""sigla"": ""CAPADR"", ""nome"": ""Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""apelido"": ""Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural"", ""nomeResumido"": ""Agropecuária""}]",,,,,,2026-06-03 08:38:45
81823,https://dadosabertos.camara.leg.br/api/v2/eventos/81823,2026-05-05 10:22:00,2026-05-05 12:35:00,Encerrada (Final),Seminário,"Avanços e desafios na implementação da Lei nº 10.436/2002 (Lei da Libras), em alusão ao Dia Nacional da Libras
 Convidados:


.  VALDO RIBEIRO RESENDE DA NOBREGA, do Ministério da Cultura; e PATRÍCIA LUZIA FERREIRA REZENDE, do Ministério da Educação; ambos Conselheiros Titulares do Conselho Nacional dos Direitos da Pessoa com Deficiência - CONADE; (Confirmados)

.  HELOISA SALLES, professora da Universidade de Brasília - UnB, especialista em Linguística; (Confirmada)

.  RODRIGO ROSSO MARQUES, Chefe do Departamento de Libras da Universidade Federal de Santa Catarina - UFSC; (Confirmado)

.  SIMONE ROCHA, representante de Movimentos CODA - ""Children of Deaf Adults""; docente da Universidade de Uberaba - UNIUBE; e tradutora intérprete do par linguístico libras/português; (Confirmada)

.  LENILDO LIMA DE SOUZA, presidente da Federação Brasileira das Associações dos Profissionais Tradutores e Intérpretes e Guia-Intérpretes de Língua de Sinais - FEBRAPILS; (Confirmado)

.  ANTONIO CAMPOS DE ABREU, presidente da Federação Nacional de Educação e Integração dos Surdos - FENEIS; (Confirmado)

.  SHIRLEY VILHALVA, indígena Surda, escritora, professora e pesquisadora da Universidade Federal de Mato Grosso do Sul - UFMS; (Confirmada)

.  GLÁUCIO CASTRO JÚNIOR, professor Surdo e coordenador do Núcleo de Ensino de Libras (UnBLibras) da Universidade de Brasília - UnB; (Confirmado)

.  ISRAEL FERREIRA SOUSA, professor Surdo e mestrando em Linguística pela Universidade de Brasília - UnB; (Confirmado)

.  ADENILSON IDALINO DE SOUSA, Diretor do Departamento de Políticas para a Pessoa com Deficiência do Ministério dos Direitos Humanos e da Cidadania - MDHC. (Não participará)


Em atendimento ao Requerimento nº 20/2026-CPD, de autoria do Deputado Rodrigo Rollemberg.",,"[{""id"": 537480, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/537480"", ""sigla"": ""CPD"", ""nome"": ""Comissão de Defesa dos Direitos das Pessoas com Deficiência"", ""apelido"": ""Defesa dos Direitos das Pessoas com Deficiência"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Defesa dos Direitos das Pessoas com Deficiência"", ""nomeResumido"": ""Pessoas com Deficiência""}]",https://www.youtube.com/watch?v=vlYgXxzmGVA,"Anexo II, Plenário 13",,,,2026-06-03 08:38:45
