id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
111,https://dadosabertos.camara.leg.br/api/v2/orgaos/111,CN,CONGRESSO NACIONAL,CONGRESSO NACIONAL,81001,Órgão do Congresso Nacional,CN,Congresso Nacional,81276,2026-06-03 08:38:48
180,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,PLEN,Plenário,Plenário,26,Plenário Virtual,Plenário,Plenário,81489,2026-06-03 08:38:48
2014,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,CSAUDE,Comissão de Saúde,Saúde,2,Comissão Permanente,Comissão de Saúde,Saúde,81683,2026-06-03 08:38:48
100950,https://dadosabertos.camara.leg.br/api/v2/orgaos/100950,EVENTOS,Eventos,Outros Eventos,12000,Órgão da Câmara dos Deputados,Câmara dos Deputados - Outros Eventos,,81695,2026-06-03 08:38:48
100950,https://dadosabertos.camara.leg.br/api/v2/orgaos/100950,EVENTOS,Eventos,Outros Eventos,12000,Órgão da Câmara dos Deputados,Câmara dos Deputados - Outros Eventos,,81696,2026-06-03 08:38:48
2017,https://dadosabertos.camara.leg.br/api/v2/orgaos/2017,CINDRE,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional e Desenvolvimento Regional,2,Comissão Permanente,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional,81730,2026-06-03 08:38:48
539741,https://dadosabertos.camara.leg.br/api/v2/orgaos/539741,PEC23119,"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição n. 231, de 2019, que altera o art. 159 da Constituição Federal para disciplinar a distribuição de recursos pela União ao Fundo de Participação dos Municípios",PEC 231/19 - FPM e Fundos Constitucionais Sul/Sudeste,3,Comissão Especial,Comissão Especial sobre o FPM e os Fundos Constitucionais Sul/Sudeste (PEC 231/19),Fundos de Financiamento,81749,2026-06-03 08:38:48
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,81794,2026-06-03 08:38:48
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,81795,2026-06-03 08:38:48
537480,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,CPD,Comissão de Defesa dos Direitos das Pessoas com Deficiência,Defesa dos Direitos das Pessoas com Deficiência,2,Comissão Permanente,Comissão de Defesa dos Direitos das Pessoas com Deficiência,Pessoas com Deficiência,81823,2026-06-03 08:38:48
5503,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,CSPCCO,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública e Combate ao Crime Organizado,2,Comissão Permanente,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública,81827,2026-06-03 08:38:48
180,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,PLEN,Plenário,Plenário,26,Plenário Virtual,Plenário,Plenário,81900,2026-06-03 08:38:48
100950,https://dadosabertos.camara.leg.br/api/v2/orgaos/100950,EVENTOS,Eventos,Outros Eventos,12000,Órgão da Câmara dos Deputados,Câmara dos Deputados - Outros Eventos,,81902,2026-06-03 08:38:48
2011,https://dadosabertos.camara.leg.br/api/v2/orgaos/2011,CFFC,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira e Controle,2,Comissão Permanente,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira,81907,2026-06-03 08:38:48
2012,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,CME,Comissão de Minas e Energia,Minas e Energia,2,Comissão Permanente,Comissão de Minas e Energia,Minas e Energia,81920,2026-06-03 08:38:48
2004,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,CDC,Comissão de Defesa do Consumidor,Defesa do Consumidor,2,Comissão Permanente,Comissão de Defesa do Consumidor,Consumidor,81414,2026-06-03 08:38:48
539384,https://dadosabertos.camara.leg.br/api/v2/orgaos/539384,CPOVOS,Comissão da Amazônia e dos Povos Originários e Tradicionais,Amazônia e dos Povos Originários e Tradicionais,2,Comissão Permanente,Comissão da Amazônia e dos Povos Originários e Tradicionais,Amazônia,81662,2026-06-03 08:38:48
2010,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,CFT,Comissão de Finanças e Tributação,Finanças e Tributação,2,Comissão Permanente,Comissão de Finanças e Tributação,Finanças e Tributação,81666,2026-06-03 08:38:48
539388,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,CASP,Comissão de Administração e Serviço Público,Administração e Serviço Público,2,Comissão Permanente,Comissão de Administração e Serviço Público,Serviço Público,81763,2026-06-03 08:38:48
2007,https://dadosabertos.camara.leg.br/api/v2/orgaos/2007,CDHMIR,"Comissão de Direitos Humanos, Minorias e Igualdade Racial","Direitos Humanos, Minorias e Igualdade Racial",2,Comissão Permanente,"Comissão de Direitos Humanos, Minorias e Igualdade Racial",Direitos Humanos,81799,2026-06-03 08:38:48
