id,uri,dataInicio,dataFim,data_captura
57,https://dadosabertos.camara.leg.br/api/v2/legislaturas/57,2023-02-01,2027-01-31,2026-06-01 00:05:33
56,https://dadosabertos.camara.leg.br/api/v2/legislaturas/56,2019-02-01,2023-01-31,2026-06-01 00:05:33
55,https://dadosabertos.camara.leg.br/api/v2/legislaturas/55,2015-02-01,2019-01-31,2026-06-01 00:05:33
54,https://dadosabertos.camara.leg.br/api/v2/legislaturas/54,2011-02-01,2015-01-31,2026-06-01 00:05:33
53,https://dadosabertos.camara.leg.br/api/v2/legislaturas/53,2007-02-01,2011-01-31,2026-06-01 00:05:33
52,https://dadosabertos.camara.leg.br/api/v2/legislaturas/52,2003-02-01,2007-01-31,2026-06-01 00:05:33
51,https://dadosabertos.camara.leg.br/api/v2/legislaturas/51,1999-02-01,2003-01-31,2026-06-01 00:05:33
50,https://dadosabertos.camara.leg.br/api/v2/legislaturas/50,1995-02-01,1999-01-31,2026-06-01 00:05:33
49,https://dadosabertos.camara.leg.br/api/v2/legislaturas/49,1991-02-01,1995-01-31,2026-06-01 00:05:33
48,https://dadosabertos.camara.leg.br/api/v2/legislaturas/48,1987-02-01,1991-01-31,2026-06-01 00:05:33
47,https://dadosabertos.camara.leg.br/api/v2/legislaturas/47,1983-02-01,1987-01-31,2026-06-01 00:05:33
46,https://dadosabertos.camara.leg.br/api/v2/legislaturas/46,1979-02-01,1983-01-31,2026-06-01 00:05:33
45,https://dadosabertos.camara.leg.br/api/v2/legislaturas/45,1975-02-01,1979-01-31,2026-06-01 00:05:33
44,https://dadosabertos.camara.leg.br/api/v2/legislaturas/44,1971-02-01,1975-01-31,2026-06-01 00:05:33
43,https://dadosabertos.camara.leg.br/api/v2/legislaturas/43,1967-02-01,1971-01-31,2026-06-01 00:05:33
42,https://dadosabertos.camara.leg.br/api/v2/legislaturas/42,1963-02-01,1967-01-31,2026-06-01 00:05:33
41,https://dadosabertos.camara.leg.br/api/v2/legislaturas/41,1959-02-01,1963-01-31,2026-06-01 00:05:33
40,https://dadosabertos.camara.leg.br/api/v2/legislaturas/40,1955-02-01,1959-01-31,2026-06-01 00:05:33
39,https://dadosabertos.camara.leg.br/api/v2/legislaturas/39,1951-03-10,1955-01-31,2026-06-01 00:05:33
38,https://dadosabertos.camara.leg.br/api/v2/legislaturas/38,1946-09-23,1951-03-09,2026-06-01 00:05:33
37,https://dadosabertos.camara.leg.br/api/v2/legislaturas/37,1935-04-28,1937-11-10,2026-06-01 00:05:33
36,https://dadosabertos.camara.leg.br/api/v2/legislaturas/36,1934-07-21,1935-04-27,2026-06-01 00:05:33
35,https://dadosabertos.camara.leg.br/api/v2/legislaturas/35,1930-04-15,1930-11-11,2026-06-01 00:05:33
34,https://dadosabertos.camara.leg.br/api/v2/legislaturas/34,1927-04-15,1930-04-14,2026-06-01 00:05:33
33,https://dadosabertos.camara.leg.br/api/v2/legislaturas/33,1924-04-15,1927-04-14,2026-06-01 00:05:33
