id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
111,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/111,CN,CONGRESSO NACIONAL,CONGRESSO NACIONAL,81001,ÓRGÃO DO CONGRESSO NACIONAL,CN,CONGRESSO NACIONAL,81276,2026-06-03 08:38:48
180,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180,PLEN,PLENÁRIO,PLENÁRIO,26,PLENÁRIO VIRTUAL,PLENÁRIO,PLENÁRIO,81489,2026-06-03 08:38:48
2014,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2014,CSAUDE,COMISSÃO DE SAÚDE,SAÚDE,2,COMISSÃO PERMANENTE,COMISSÃO DE SAÚDE,SAÚDE,81683,2026-06-03 08:38:48
100950,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950,EVENTOS,EVENTOS,OUTROS EVENTOS,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,CÂMARA DOS DEPUTADOS - OUTROS EVENTOS,,81695,2026-06-03 08:38:48
100950,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950,EVENTOS,EVENTOS,OUTROS EVENTOS,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,CÂMARA DOS DEPUTADOS - OUTROS EVENTOS,,81696,2026-06-03 08:38:48
2017,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2017,CINDRE,COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,2,COMISSÃO PERMANENTE,COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL,INTEGRAÇÃO NACIONAL,81730,2026-06-03 08:38:48
539741,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539741,PEC23119,"COMISSÃO ESPECIAL DESTINADA A PROFERIR PARECER À PROPOSTA DE EMENDA À CONSTITUIÇÃO N. 231, DE 2019, QUE ALTERA O ART. 159 DA CONSTITUIÇÃO FEDERAL PARA DISCIPLINAR A DISTRIBUIÇÃO DE RECURSOS PELA UNIÃO AO FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS",PEC 231/19 - FPM E FUNDOS CONSTITUCIONAIS SUL/SUDESTE,3,COMISSÃO ESPECIAL,COMISSÃO ESPECIAL SOBRE O FPM E OS FUNDOS CONSTITUCIONAIS SUL/SUDESTE (PEC 231/19),FUNDOS DE FINANCIAMENTO,81749,2026-06-03 08:38:48
2001,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001,CAPADR,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL","AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",2,COMISSÃO PERMANENTE,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",AGROPECUÁRIA,81794,2026-06-03 08:38:48
2001,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001,CAPADR,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL","AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",2,COMISSÃO PERMANENTE,"COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL",AGROPECUÁRIA,81795,2026-06-03 08:38:48
537480,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/537480,CPD,COMISSÃO DE DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA,DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA,2,COMISSÃO PERMANENTE,COMISSÃO DE DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA,PESSOAS COM DEFICIÊNCIA,81823,2026-06-03 08:38:48
5503,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5503,CSPCCO,COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,2,COMISSÃO PERMANENTE,COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO,SEGURANÇA PÚBLICA,81827,2026-06-03 08:38:48
180,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180,PLEN,PLENÁRIO,PLENÁRIO,26,PLENÁRIO VIRTUAL,PLENÁRIO,PLENÁRIO,81900,2026-06-03 08:38:48
100950,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950,EVENTOS,EVENTOS,OUTROS EVENTOS,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,CÂMARA DOS DEPUTADOS - OUTROS EVENTOS,,81902,2026-06-03 08:38:48
