id,uri,dataInicio,dataFim,data_captura
57,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/57,2023-02-01,2027-01-31,2026-06-01 00:05:33
56,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/56,2019-02-01,2023-01-31,2026-06-01 00:05:33
55,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/55,2015-02-01,2019-01-31,2026-06-01 00:05:33
54,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/54,2011-02-01,2015-01-31,2026-06-01 00:05:33
53,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/53,2007-02-01,2011-01-31,2026-06-01 00:05:33
52,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/52,2003-02-01,2007-01-31,2026-06-01 00:05:33
51,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/51,1999-02-01,2003-01-31,2026-06-01 00:05:33
50,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/50,1995-02-01,1999-01-31,2026-06-01 00:05:33
49,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/49,1991-02-01,1995-01-31,2026-06-01 00:05:33
48,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/48,1987-02-01,1991-01-31,2026-06-01 00:05:33
47,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/47,1983-02-01,1987-01-31,2026-06-01 00:05:33
46,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/46,1979-02-01,1983-01-31,2026-06-01 00:05:33
45,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/45,1975-02-01,1979-01-31,2026-06-01 00:05:33
44,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/44,1971-02-01,1975-01-31,2026-06-01 00:05:33
43,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/43,1967-02-01,1971-01-31,2026-06-01 00:05:33
42,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/42,1963-02-01,1967-01-31,2026-06-01 00:05:33
41,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/41,1959-02-01,1963-01-31,2026-06-01 00:05:33
40,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/40,1955-02-01,1959-01-31,2026-06-01 00:05:33
39,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/39,1951-03-10,1955-01-31,2026-06-01 00:05:33
