id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
10034,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/10034,,DIRETOR DA CONSULTORIA LEGISLATIVA,DIRETOR DA CONSULTORIA LEGISLATIVA,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,DIRETOR DA CONSULTORIA LEGISLATIVA,DIRETOR DA CONSULTORIA LEGISLATIVA,2026-06-01 00:27:13
10045,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/10045,,SECRETARIA-GERAL DA MESA,SECRETARIA-GERAL DA MESA,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,SECRETARIA GERAL DA MESA,SECRETARIA-GERAL DA MESA,2026-06-01 00:27:13
5470,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5470,1SECM,PRIMEIRA SECRETARIA,1ª SECRETARIA,1,COMISSÃO DIRETORA,1ª SECRETARIA DA CÂMARA DOS DEPUTADOS,1ª SECRETARIA,2026-06-01 00:27:13
102846,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/102846,1SECM-OF,PRIMEIRA SECRETARIA - OFÍCIOS,1ª SECRETARIA - OFÍCIOS,1,COMISSÃO DIRETORA,1ª SECRETARIA - OFÍCIOS,1SECM-OF,2026-06-01 00:27:13
5468,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5468,1VIPR,PRIMEIRA VICE-PRESIDÊNCIA,1ª VICE-PRESIDÊNCIA,1,COMISSÃO DIRETORA,1ª VICE-PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS,1ª VICE-PRESIDÊNCIA,2026-06-01 00:27:13
5471,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5471,2SECM,SEGUNDA SECRETARIA DA CÂMARA DOS DEPUTADOS,2ª SECRETARIA,1,COMISSÃO DIRETORA,2ª SECRETARIA DA CÂMARA DOS DEPUTADOS,2ª SECRETARIA,2026-06-01 00:27:13
5469,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5469,2VIPR,SEGUNDA VICE-PRESIDÊNCIA,2ª VICE-PRESIDÊNCIA,1,COMISSÃO DIRETORA,2ª VICE-PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS,2ª VICE-PRESIDÊNCIA,2026-06-01 00:27:13
5472,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5472,3SECM,TERCEIRA SECRETARIA,3ª SECRETARIA,1,COMISSÃO DIRETORA,3ª SECRETARIA DA CÂMARA DOS DEPUTADOS,3ª SECRETARIA,2026-06-01 00:27:13
5473,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5473,4SECM,QUARTA SECRETARIA,4ª SECRETARIA,1,COMISSÃO DIRETORA,4ª SECRETARIA DA CÂMARA DOS DEPUTADOS,4ª SECRETARIA,2026-06-01 00:27:13
100854,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100854,APLEN(SGM),ASSESSORIA DE PLENÁRIO,APLEN(SGM),12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,APLEN(SGM),,2026-06-01 00:27:13
100293,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100293,ARQUIVO,CEDI - COORDENAÇÃO DE ARQUIVO DA CÂMARA DOS DEPUTADOS,ARQUIVO,12000,ÓRGÃO DA CÂMARA DOS DEPUTADOS,ARQUIVO,,2026-06-01 00:27:13
539644,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539644,BANEGRA,"BANCADA NEGRA DA CÂMARA DOS DEPUTADOS, CRIADA PELA RESOLUÇÃO N. 6, DE 2023, QUE ACRESCEU AO REGIMENTO INTERNO DA CÂMARA DOS DEPUTADOS O CAPÍTULO VI, DO TÍTULO I, COM OS ARTIGOS 13-A E 13-B",BANCADA NEGRA DA CÂMARA DOS DEPUTADOS,15,COORDENADORIA DA MULHER,,,2026-06-01 00:27:13
