id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
10034,https://dadosabertos.camara.leg.br/api/v2/orgaos/10034,,Diretor da Consultoria Legislativa,Diretor da Consultoria Legislativa,12000,Órgão da Câmara dos Deputados,Diretor da Consultoria Legislativa,Diretor da Consultoria Legislativa,2026-06-01 00:27:13
10045,https://dadosabertos.camara.leg.br/api/v2/orgaos/10045,,Secretaria-Geral da Mesa,Secretaria-Geral da Mesa,12000,Órgão da Câmara dos Deputados,Secretaria Geral da Mesa,Secretaria-Geral da Mesa,2026-06-01 00:27:13
5470,https://dadosabertos.camara.leg.br/api/v2/orgaos/5470,1SECM,Primeira Secretaria,1ª Secretaria,1,Comissão Diretora,1ª Secretaria da Câmara dos Deputados,1ª Secretaria,2026-06-01 00:27:13
102846,https://dadosabertos.camara.leg.br/api/v2/orgaos/102846,1SECM-OF,Primeira Secretaria - Ofícios,1ª Secretaria - Ofícios,1,Comissão Diretora,1ª Secretaria - Ofícios,1Secm-Of,2026-06-01 00:27:13
5468,https://dadosabertos.camara.leg.br/api/v2/orgaos/5468,1VIPR,Primeira Vice-Presidência,1ª Vice-Presidência,1,Comissão Diretora,1ª Vice-Presidência da Câmara dos Deputados,1ª Vice-Presidência,2026-06-01 00:27:13
5471,https://dadosabertos.camara.leg.br/api/v2/orgaos/5471,2SECM,Segunda Secretaria da Câmara dos Deputados,2ª Secretaria,1,Comissão Diretora,2ª Secretaria da Câmara dos Deputados,2ª Secretaria,2026-06-01 00:27:13
5469,https://dadosabertos.camara.leg.br/api/v2/orgaos/5469,2VIPR,Segunda Vice-Presidência,2ª Vice-Presidência,1,Comissão Diretora,2ª Vice-Presidência da Câmara dos Deputados,2ª Vice-Presidência,2026-06-01 00:27:13
5472,https://dadosabertos.camara.leg.br/api/v2/orgaos/5472,3SECM,Terceira Secretaria,3ª Secretaria,1,Comissão Diretora,3ª Secretaria da Câmara dos Deputados,3ª Secretaria,2026-06-01 00:27:13
5473,https://dadosabertos.camara.leg.br/api/v2/orgaos/5473,4SECM,Quarta Secretaria,4ª Secretaria,1,Comissão Diretora,4ª Secretaria da Câmara dos Deputados,4ª Secretaria,2026-06-01 00:27:13
100854,https://dadosabertos.camara.leg.br/api/v2/orgaos/100854,APLEN(SGM),Assessoria de Plenário,APLEN(SGM),12000,Órgão da Câmara dos Deputados,APLEN(SGM),,2026-06-01 00:27:13
100293,https://dadosabertos.camara.leg.br/api/v2/orgaos/100293,ARQUIVO,CeDI - Coordenação de Arquivo da Câmara dos Deputados,ARQUIVO,12000,Órgão da Câmara dos Deputados,ARQUIVO,,2026-06-01 00:27:13
539644,https://dadosabertos.camara.leg.br/api/v2/orgaos/539644,BANEGRA,"Bancada Negra da Câmara dos Deputados, criada pela Resolução n. 6, de 2023, que acresceu ao Regimento Interno da Câmara dos Deputados o Capítulo VI, do Título I, com os artigos 13-A e 13-B",Bancada Negra da Câmara dos Deputados,15,COORDENADORIA DA MULHER,,,2026-06-01 00:27:13
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,2026-06-01 00:27:13
101543,https://dadosabertos.camara.leg.br/api/v2/orgaos/101543,CARF,Conselho Administrativo de Recursos Fiscais,Conselho Administrativo de Recursos Fiscais,11,Conselho,,,2026-06-01 00:27:13
539388,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,CASP,Comissão de Administração e Serviço Público,Administração e Serviço Público,2,Comissão Permanente,Comissão de Administração e Serviço Público,Serviço Público,2026-06-01 00:27:13
2003,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,CCJC,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça e de Cidadania,2,Comissão Permanente,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça,2026-06-01 00:27:13
539385,https://dadosabertos.camara.leg.br/api/v2/orgaos/539385,CCOM,Comissão de Comunicação,Comunicação,2,Comissão Permanente,Comissão de Comunicação,Comunicação,2026-06-01 00:27:13
