tipoVoto,dataRegistroVoto,idVotacaoContexto,deputado_.id,deputado_.uri,deputado_.nome,deputado_.siglaPartido,deputado_.uriPartido,deputado_.siglaUf,deputado_.idLegislatura,deputado_.urlFoto,deputado_.email,data_captura
NÃO,2026-05-19 16:08:43,122886361,66385,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/66385,JULIO ARCOVERDE,PP,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37903,PI,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/66385.JPG,DEP.JULIOARCOVERDE@CAMARA.LEG.BR,2026-06-01 00:55:19
SIM,2026-05-19 16:08:43,122886361,66828,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/66828,FAUSTO PINATO,UNIÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38009,SP,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/66828.JPG,DEP.FAUSTOPINATO@CAMARA.LEG.BR,2026-06-01 00:55:19
SIM,2026-05-19 16:08:43,122886361,74161,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74161,REGINALDO LOPES,PT,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36844,MG,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74161.JPG,DEP.REGINALDOLOPES@CAMARA.LEG.BR,2026-06-01 00:55:19
NÃO,2026-05-19 16:08:43,122886361,74428,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74428,MENDONÇA FILHO,PL,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/37906,PE,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74428.JPG,DEP.MENDONCAFILHO@CAMARA.LEG.BR,2026-06-01 00:55:19
NÃO,2026-05-19 16:08:43,122886361,74574,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74574,PAULO MAGALHÃES,PSD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36834,BA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74574.JPG,DEP.PAULOMAGALHAES@CAMARA.LEG.BR,2026-06-01 00:55:19
SIM,2026-05-19 16:08:43,122886361,74856,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74856,LAURA CARNEIRO,PSD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36834,RJ,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/74856.JPG,DEP.LAURACARNEIRO@CAMARA.LEG.BR,2026-06-01 00:55:19
SIM,2026-05-19 16:08:43,122886361,139285,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/139285,LÍDICE DA MATA,PSB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36832,BA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/139285.JPG,DEP.LIDICEDAMATA@CAMARA.LEG.BR,2026-06-01 00:55:19
NÃO,2026-05-19 16:08:43,122886361,141531,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/141531,RODRIGO DE CASTRO,UNIÃO,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/38009,MG,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/141531.JPG,DEP.RODRIGODECASTRO@CAMARA.LEG.BR,2026-06-01 00:55:19
NÃO,2026-05-19 16:08:43,122886361,153423,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/153423,RENILCE NICODEMOS,MDB,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36899,PA,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/153423.JPG,DEP.RENILCENICODEMOS@CAMARA.LEG.BR,2026-06-01 00:55:19
SIM,2026-05-19 16:08:43,122886361,157130,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/157130,TÚLIO GADÊLHA,PSD,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/PARTIDOS/36834,PE,57,HTTPS://WWW.CAMARA.LEG.BR/INTERNET/DEPUTADO/BANDEP/157130.JPG,DEP.TULIOGADELHA@CAMARA.LEG.BR,2026-06-01 00:55:19
